Interval=	0,01 s
ExcelDateTime=	4,1795673598807873e+004	05.06.2014 16:09:58,937
TimeFormat=	StartOfBlock
ChannelTitle=	Channel 1
Range=	20,000 mV
12,37	5,549
12,38	5,429
12,39	5,306
12,4	5,184
12,41	5,063
12,42	4,936
12,43	4,803
12,44	4,669
12,45	4,539
12,46	4,415
12,47	4,301
12,48	4,198
12,49	4,104
12,5	4,019
12,51	3,941
12,52	3,860
12,53	3,776
12,54	3,689
12,55	3,599
12,56	3,505
12,57	3,407
12,58	3,308
12,59	3,211
12,6	3,115
12,61	3,021
12,62	2,926
12,63	2,833
12,64	2,739
12,65	2,645
12,66	2,549
12,67	2,451
12,68	2,351
12,69	2,249
12,7	2,144
12,71	2,038
12,72	1,931
12,73	1,824
12,74	1,714
12,75	1,606
12,76	1,497
12,77	1,387
12,78	1,277
12,79	1,169
12,8	1,066
12,81	0,968
12,82	0,872
12,83	0,779
12,84	0,690
12,85	0,606
12,86	0,525
12,87	0,448
12,88	0,374
12,89	0,302
12,9	0,231
12,91	0,162
12,92	0,093
12,93	0,024
12,94	-0,044
12,95	-0,115
12,96	-0,186
12,97	-0,257
12,98	-0,328
12,99	-0,397
13,0	-0,461
13,01	-0,523
13,02	-0,584
13,03	-0,641
13,04	-0,699
13,05	-0,759
13,06	-0,823
13,07	-0,887
13,08	-0,948
13,09	-1,003
13,1	-1,055
13,11	-1,103
13,12	-1,156
13,13	-1,218
13,14	-1,281
13,15	-1,343
13,16	-1,403
13,17	-1,461
13,18	-1,519
13,19	-1,578
13,2	-1,636
13,21	-1,694
13,22	-1,754
13,23	-1,816
13,24	-1,881
13,25	-1,949
13,26	-2,016
13,27	-2,082
13,28	-2,146
13,29	-2,208
13,3	-2,266
13,31	-2,319
13,32	-2,365
13,33	-2,408
13,34	-2,451
13,35	-2,493
13,36	-2,531
13,37	-2,565
13,38	-2,601
13,39	-2,634
13,4	-2,662
13,41	-2,694
13,42	-2,731
13,43	-2,769
13,44	-2,805
13,45	-2,839
13,46	-2,873
13,47	-2,908
13,48	-2,944
13,49	-2,981
13,5	-3,019
13,51	-3,059
13,52	-3,101
13,53	-3,143
13,54	-3,187
